# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
#     2MASS0817
#     ~/ModelFittingTools/ExampleFitting1/sampledata1/
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     IGRINS
#     SONORA-BOBCAT
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     ~/ModelFittingTools/ExampleFitting1/SonoraBobcatModelNames.txt
#     m100
#     1.779,1.798
#     1.779,1.798
#     0
#     ~/ModelFittingTools/ExampleFitting1/
#     Sept10_2022
#     21
#     23
#     0.5
#     8
#     11
#     0.5
#     0.6
#     0.01405
#     35
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     Quadratic
#     -7.0
#     1
#
# TELLURIC LINE MASK APPLIED, <35% TRANSMISSION (from PSG) AND OH EMISSION LINES
#
# Filename                                  T_eff             log(g)         f_sed             chisquare       d.o.f.             reduchisquare    vsini(km/s)     rv(km/s)       a        b       c
sp_t1200g1000nc_m0.0   1200    1000    0           42831.109       1412.0000       30.333647       21.000000         8.0000000       -1215.8092       4350.5020      -3890.8382
sp_t1200g1000nc_m0.0   1200    1000    0           41240.069       1412.0000       29.206848       21.000000         8.5000000       -1202.7403       4303.8076      -3849.1289
sp_t1200g1000nc_m0.0   1200    1000    0           39930.285       1412.0000       28.279239       21.000000         9.0000000       -1189.9965       4258.2789      -3808.4641
sp_t1200g1000nc_m0.0   1200    1000    0           38904.837       1412.0000       27.553001       21.000000         9.5000000       -1176.5158       4210.1193      -3765.4514
sp_t1200g1000nc_m0.0   1200    1000    0           38167.564       1412.0000       27.030853       21.000000         10.000000       -1162.8148       4161.1728      -3721.7361
sp_t1200g1000nc_m0.0   1200    1000    0           37715.768       1412.0000       26.710884       21.000000         10.500000       -1149.3952       4113.2331      -3678.9214
sp_t1200g1000nc_m0.0   1200    1000    0           37545.373       1412.0000       26.590208       21.000000         11.000000       -1136.1007       4065.7449      -3636.5139
sp_t1200g1000nc_m0.0   1200    1000    0           42194.318       1412.0000       29.882661       21.500000         8.0000000       -1208.7545       4325.3013      -3868.3315
sp_t1200g1000nc_m0.0   1200    1000    0           40621.778       1412.0000       28.768964       21.500000         8.5000000       -1195.5407       4278.0882      -3826.1579
sp_t1200g1000nc_m0.0   1200    1000    0           39327.051       1412.0000       27.852019       21.500000         9.0000000       -1181.7972       4228.9818      -3782.2924
sp_t1200g1000nc_m0.0   1200    1000    0           38313.649       1412.0000       27.134313       21.500000         9.5000000       -1168.4765       4181.3941      -3739.7907
sp_t1200g1000nc_m0.0   1200    1000    0           37583.903       1412.0000       26.617495       21.500000         10.000000       -1154.6917       4132.1472      -3695.8062
sp_t1200g1000nc_m0.0   1200    1000    0           37136.283       1412.0000       26.300484       21.500000         10.500000       -1141.0738       4083.4973      -3652.3556
sp_t1200g1000nc_m0.0   1200    1000    0           36966.941       1412.0000       26.180553       21.500000         11.000000       -1127.0761       4033.4922      -3607.6961
sp_t1200g1000nc_m0.0   1200    1000    0           41518.792       1412.0000       29.404244       22.000000         8.0000000       -1198.3675       4288.1941      -3835.1889
sp_t1200g1000nc_m0.0   1200    1000    0           39972.514       1412.0000       28.309146       22.000000         8.5000000       -1184.5980       4238.9933      -3791.2375
sp_t1200g1000nc_m0.0   1200    1000    0           38701.899       1412.0000       27.409277       22.000000         9.0000000       -1171.0700       4190.6582      -3748.0622
sp_t1200g1000nc_m0.0   1200    1000    0           37703.850       1412.0000       26.702444       22.000000         9.5000000       -1157.1658       4140.9803      -3703.6887
sp_t1200g1000nc_m0.0   1200    1000    0           36983.105       1412.0000       26.192001       22.000000         10.000000       -1143.7222       4092.9525      -3660.7931
sp_t1200g1000nc_m0.0   1200    1000    0           36538.896       1412.0000       25.877405       22.000000         10.500000       -1129.4521       4041.9694      -3615.2559
sp_t1200g1000nc_m0.0   1200    1000    0           36368.601       1412.0000       25.756799       22.000000         11.000000       -1115.6645       3992.7152      -3571.2673
sp_t1200g1000nc_m0.0   1200    1000    0           41413.277       1412.0000       29.329516       22.500000         8.0000000       -1196.2983       4280.8027      -3828.5878
sp_t1200g1000nc_m0.0   1200    1000    0           39875.591       1412.0000       28.240504       22.500000         8.5000000       -1181.9341       4229.4735      -3782.7321
sp_t1200g1000nc_m0.0   1200    1000    0           38610.375       1412.0000       27.344458       22.500000         9.0000000       -1168.1693       4180.2897      -3738.7963
sp_t1200g1000nc_m0.0   1200    1000    0           37618.767       1412.0000       26.642186       22.500000         9.5000000       -1154.1984       4130.3742      -3694.2111
sp_t1200g1000nc_m0.0   1200    1000    0           36902.920       1412.0000       26.135212       22.500000         10.000000       -1140.4588       4081.2876      -3650.3689
sp_t1200g1000nc_m0.0   1200    1000    0           36463.007       1412.0000       25.823659       22.500000         10.500000       -1126.2831       4030.6411      -3605.1315
sp_t1200g1000nc_m0.0   1200    1000    0           36295.313       1412.0000       25.704896       22.500000         11.000000       -1112.6817       3982.0521      -3561.7369
sp_t1200g1000nc_m0.0   1200    1000    0           41111.789       1412.0000       29.115998       23.000000         8.0000000       -1187.9959       4251.1387      -3802.0897
sp_t1200g1000nc_m0.0   1200    1000    0           39595.129       1412.0000       28.041876       23.000000         8.5000000       -1174.4553       4202.7556      -3758.8687
sp_t1200g1000nc_m0.0   1200    1000    0           38348.833       1412.0000       27.159230       23.000000         9.0000000       -1160.2510       4151.9997      -3713.5272
