# SPECTRUM - DATA AND BEST FITTING MODEL.
# FOR PLOTTING
#
# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
#     2MASS0817
#     ~/ModelFittingTools/ExampleFitting1/sampledata1/
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     IGRINS
#     SONORA-BOBCAT
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     ~/ModelFittingTools/ExampleFitting1/SonoraBobcatModelNames.txt
#     m100
#     1.779,1.798
#     1.779,1.798
#     0
#     ~/ModelFittingTools/ExampleFitting1/
#     Sept10_2022
#     21
#     23
#     0.5
#     8
#     11
#     0.5
#     0.6
#     0.01405
#     35
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     Quadratic
#     -7.0
#     1
#
# MODEL IS: sp_t1200g3160nc_m0.0
# VSINI IS: 22.000000
# RV IS: 10.500000
# DATA divided by quadratic (ax^2 + bx + c) -- a: -357.17147
# DATA divided by quadratic (ax^2 + bx + c) -- b: 1280.2255
# DATA divided by quadratic (ax^2 + bx + c) -- c: -1146.2311
# reduced chi square is:        19.652490
#
# wavelength (um),    data flux,      uncertainty,     model flux
       1.7790119       1.2865154     0.095725766       1.0288434
       1.7790250       1.5046671      0.10067111      0.94809758
       1.7790381       1.2799027      0.10751575      0.85807251
       1.7790512       1.0660971      0.11715814      0.76693433
       1.7790643      0.82071545      0.12621035      0.68173356
       1.7790774      0.71668556      0.12660668      0.60446073
       1.7790905      0.37036955      0.12047316      0.53478650
       1.7791036      0.58418839      0.10996752      0.47104411
       1.7791167      0.35319683     0.099897740      0.41384712
       1.7791297      0.22722491     0.093674017      0.36538929
       1.7791428      0.15393753     0.092203654      0.32842718
       1.7791559      0.20657001     0.094807278      0.30425571
       1.7791690      0.44472878     0.095904879      0.29294598
       1.7791821      0.54548417     0.097083615      0.29585902
       1.7791952      0.20128328     0.094813796      0.31363802
       1.7792082      0.33480800     0.094038206      0.34714364
       1.7792213      0.30962470     0.089624166      0.39671315
       1.7792344      0.25205437     0.083130001      0.46033949
       1.7792475      0.54793223     0.080796633      0.53577328
       1.7792605      0.51796382     0.077363687      0.61948638
       1.7792736      0.52669579     0.077581826      0.70959918
       1.7792867      0.61291248     0.077738689      0.80294934
       1.7792997      0.78540630     0.077479656      0.89751548
       1.7793128      0.85322512     0.076002968      0.99350603
       1.7793258      0.83190696     0.076362085       1.0912914
       1.7793389       1.1908387     0.075763171       1.1905466
       1.7793520       1.3964004     0.076385608       1.2910215
       1.7793650       1.4621436     0.076180068       1.3891612
       1.7793781       1.3447593     0.076071121       1.4801184
       1.7793911       1.3364214     0.075506563       1.5596164
       1.7794042       1.3104594     0.076845670       1.6229553
       1.7794172       1.4843575     0.077655291       1.6706117
       1.7794303       1.6928031     0.076962468       1.7017105
       1.7794433       1.9160181     0.075754217       1.7157441
       1.7794563       1.7258437     0.075981353       1.7105969
       1.7794694       1.6878892     0.075064153       1.6869733
       1.7794824       1.5621441     0.074214879       1.6502874
       1.7794955       1.5907357     0.073035584       1.6046860
       1.7795085       1.7812658     0.073597025       1.5526089
       1.7795215       1.4760284     0.073950351       1.4947090
       1.7795346       1.6276532     0.072672990       1.4337226
       1.7795476       1.4789123     0.072249710       1.3711935
       1.7795606       1.4528188     0.071878729       1.3071499
       1.7795736       1.3979141     0.072354401       1.2405691
       1.7795867       1.3307965     0.072950549       1.1721276
       1.7795997       1.3038931     0.072223627       1.1056239
       1.7796127      0.90699636     0.070262932       1.0431931
       1.7796257      0.95935429     0.070133303      0.98617506
       1.7796387      0.88401248     0.069203352      0.93465264
       1.7796518       1.0526046     0.069213372      0.88818239
       1.7796648      0.95735308     0.068217687      0.84553201
       1.7796778       1.0161076     0.067580560      0.80434834
       1.7796908      0.92912643     0.068067382      0.76403789
       1.7797038       1.0187083     0.068190012      0.72541411
       1.7797168      0.81694303     0.067929977      0.68657710
       1.7797298      0.83734160     0.068726599      0.64469020
       1.7797428      0.77448446     0.070091150      0.60091684
       1.7797558      0.71828590     0.070919531      0.56025792
       1.7797688      0.79685198     0.071671563      0.52882457
       1.7797818      0.73813119     0.072598733      0.50793098
       1.7797948      0.63501979     0.071089461      0.49887823
       1.7798078      0.72983665     0.071227200      0.50390312
       1.7798208      0.71329842     0.069512778      0.52545152
       1.7798338      0.64628181     0.067492961      0.56319224
       1.7798468      0.82648044     0.065964631      0.61460205
       1.7798597      0.86456551     0.065189730      0.67844118
       1.7798727      0.77167249     0.064503674      0.75461345
       1.7798857      0.77572008     0.064029575      0.84285922
       1.7798987      0.78847842     0.062578979      0.94185502
       1.7799117       1.1307457     0.063572788       1.0508324
       1.7799246       1.5031632     0.064273404       1.1678010
       1.7799376       1.2838110     0.064299842       1.2870197
       1.7799506       1.2680944     0.063853929       1.4020025
       1.7799636       1.4407996     0.063184708       1.5071215
       1.7799765       1.6497061     0.062483040       1.6039811
       1.7799895       1.5847652     0.062697129       1.6949259
       1.7800025       1.6947110     0.063010129       1.7791979
       1.7800154       1.8465325     0.063313252       1.8562599
       1.7800284       1.9971946     0.062949822       1.9272347
       1.7800413       2.1446320     0.063364668       1.9933815
       1.7800543       2.2125683     0.063338541       2.0552260
       1.7800673       2.0804156     0.063476058       2.1134007
       1.7800802       2.2937314     0.063020791       2.1685886
       1.7800932       2.3404137     0.062279893       2.2209791
       1.7801061       2.1681106     0.062258919       2.2712272
       1.7801191       2.4152418     0.062673815       2.3192941
       1.7801320       2.4558372     0.062502388       2.3645141
       1.7801450       2.4005102     0.062178564       2.4069913
       1.7801579       2.4923599     0.062665309       2.4460469
       1.7801708       2.5797412     0.062777806       2.4800339
       1.7801838       2.4543537     0.062423901       2.5067323
       1.7801967       2.5614184     0.062722506       2.5248166
       1.7802097       2.5344038     0.061985774       2.5340036
       1.7802226       2.5362341     0.062120952       2.5344152
       1.7802355       2.6815275     0.062040981       2.5266045
       1.7802485       2.4554244     0.061856939       2.5118764
       1.7802614       2.5214055     0.062044599       2.4931249
       1.7802743       2.5270520     0.062025657       2.4730397
       1.7802872       2.4920712     0.061275535       2.4521177
       1.7803002       2.3903806     0.060434584       2.4300465
       1.7803131       2.3424882     0.062070416       2.4064467
       1.7803260       2.4811478     0.062386966       2.3813769
       1.7803389       2.4824679     0.061139078       2.3540696
       1.7803518       2.3599610     0.061464195       2.3232644
       1.7803647       2.2149939     0.061103439       2.2856779
       1.7803777       2.2357783     0.060712522       2.2399232
       1.7803906       2.2192111     0.060411421       2.1862506
       1.7804035       2.1323458     0.059707877       2.1240781
       1.7804164       2.2417088     0.059396626       2.0501881
       1.7804293       2.1208841     0.059391019       1.9660684
       1.7804422       1.7770154     0.058273444       1.8790462
       1.7804551       1.8758957     0.058149254       1.7942766
       1.7804680       2.1246325     0.058497529       1.7144643
       1.7804809       1.7643074     0.057203548       1.6395685
       1.7804938       1.7204569     0.056949695       1.5703764
       1.7805067       1.6854272     0.056800864       1.5115762
       1.7805196       1.6429583     0.056205093       1.4649147
       1.7805325       1.5304887     0.055219203       1.4337133
       1.7805454       1.4500162     0.055132703       1.4192656
       1.7805583       1.4932518     0.055748752       1.4223435
       1.7805711       1.4767659     0.055566859       1.4426347
       1.7805840       1.6249107     0.055298467       1.4788083
       1.7805969       1.5178312     0.054800520       1.5290874
       1.7806098       1.5660516     0.055371288       1.5915197
       1.7806227       1.6794170     0.055417694       1.6641630
       1.7806355       1.7012869     0.055095568       1.7448344
       1.7806484       1.6412891     0.055663375       1.8280570
