# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
#     2MASS0407
#     /home/mtannock/ModelFittingTools/ExampleFitting2/sampledata2/
#     2M0407_GNIRS_baryvelcor_Nov9.dat
#     2M0407_GNIRS_error_baryvelcor_Nov9.dat
#     GNIRS
#     BTSETTL-CIFIST2011
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     /home/mtannock/ModelFittingTools/ExampleFitting2/BT-Settlmodelnames.txt
#     K
#     2.275,2.3322
#     2.31,2.32
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/
#     Sept10_2022
#     80
#     85
#     1.0
#     40
#     45
#     1.0
#     0.6
#     0.018
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     Scale
#     5
#     1
#
# NO TELLURIC LINE MASK APPLIED
#
# Filename                                  T_eff             log(g)         f_sed             chisquare       d.o.f.             reduchisquare    vsini(km/s)     rv(km/s)       scale
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2047.9044       927.00000       2.2091741       80.000000         40.000000        1.0047845
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2041.4268       927.00000       2.2021865       80.000000         41.000000        1.0047097
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2036.5298       927.00000       2.1969038       80.000000         42.000000        1.0046251
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2033.1632       927.00000       2.1932721       80.000000         43.000000        1.0045336
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2031.3254       927.00000       2.1912896       80.000000         44.000000        1.0044426
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2031.0703       927.00000       2.1910144       80.000000         45.000000        1.0043577
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2055.9540       927.00000       2.2178576       81.000000         40.000000        1.0048362
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2049.3310       927.00000       2.2107131       81.000000         41.000000        1.0047609
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2044.3808       927.00000       2.2053731       81.000000         42.000000        1.0046799
lte017-4.0-0.0a+0.0.BT-Settl.spec.7   1700    4    0           2041.0688       927.00000       2.2018002       81.000000         43.000000        1.0045965
