# SPECTRUM - DATA AND BEST FITTING MODEL.
# FOR PLOTTING
#
# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
#     2MASS0407
#     /home/mtannock/ModelFittingTools/ExampleFitting2/sampledata2/
#     2M0407_GNIRS_baryvelcor_Nov9.dat
#     2M0407_GNIRS_error_baryvelcor_Nov9.dat
#     GNIRS
#     BTSETTL-CIFIST2011
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     /home/mtannock/ModelFittingTools/ExampleFitting2/BT-Settlmodelnames.txt
#     K
#     2.275,2.3322
#     2.31,2.32
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/
#     Sept10_2022
#     80
#     85
#     1.0
#     40
#     45
#     1.0
#     0.6
#     0.018
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     Scale
#     5
#     1
#
# NO TELLURIC LINE MASK APPLIED
# MODEL IS: lte017-5.0-0.0a+0.0.BT-Settl.spec.7
# VSINI IS: 84.000000
# RV IS: 44.000000
# DATA divided by factor -- factor: 0.98804181
# reduced chi square is:        1.2161050
#
# wavelength (um),    data flux,      uncertainty,     model flux
       2.2750206       1.1501059     0.048216176       1.2471002
       2.2750823       1.1616779     0.039025680       1.2537781
       2.2751439       1.1962134     0.033006580       1.2610578
       2.2752055       1.2281317     0.046755154       1.2686766
       2.2752671       1.2297515     0.033114659       1.2766402
       2.2753288       1.2215067     0.036241719       1.2844737
       2.2753904       1.2205959     0.045098177       1.2927839
       2.2754520       1.2716492     0.029180356       1.3022904
       2.2755136       1.3234682     0.038272079       1.3131761
       2.2755752       1.3001838     0.051611662       1.3249788
       2.2756369       1.2690725     0.048718207       1.3358620
       2.2756985       1.2367671     0.048924989       1.3449732
       2.2757601       1.3587818     0.065500027       1.3452103
       2.2758217       1.3242303     0.073453618       1.3393642
       2.2758834       1.1691523     0.072182477       1.3283050
       2.2759450       1.1961449     0.077648798       1.3159572
       2.2760066       1.3201198     0.074922868       1.3019970
       2.2760682       1.2604366     0.028780280       1.2893427
       2.2761298       1.1865615     0.058326156       1.2795725
       2.2761915       1.1768245     0.043946405       1.2719732
       2.2762531       1.1822325     0.064185689       1.2667186
       2.2763147       1.1721220     0.068375845       1.2627325
       2.2763763       1.1935110     0.059515487       1.2590806
       2.2764380       1.1816334     0.048909932       1.2553491
       2.2764996       1.1974892     0.046143940       1.2531766
       2.2765612       1.2278281     0.034052063       1.2510173
       2.2766228       1.2677645     0.052901974       1.2496751
       2.2766844       1.2318690     0.038648694       1.2506228
       2.2767461       1.1853179     0.038927306       1.2529019
       2.2768077       1.1833995     0.043609728       1.2566956
       2.2768693       1.1941354     0.047168167       1.2625004
